Deity Analysis from Hymn Titles:
========================================

Indra                -  257 hymns
Agni                 -  203 hymns
Soma                 -  116 hymns
Viśvedevas           -   69 hymns
Aśvins               -   56 hymns
Maruts               -   34 hymns
Mitra-Varuṇa         -   24 hymns
Dawn                 -   20 hymns
Vāyu                 -   11 hymns
Ṛbhus                -   11 hymns
Indra-Agni           -   11 hymns
Savitar              -   11 hymns
Various              -   11 hymns
Varuṇa               -   10 hymns
Indra-Varuṇa         -    9 hymns
Āprīs                -    9 hymns
The                  -    9 hymns
Pūṣan                -    8 hymns
Bṛhaspati            -    7 hymns
Brahmaṇaspati        -    6 hymns
Sūrya                -    6 hymns
Heaven               -    6 hymns
Ādityas              -    6 hymns
Waters               -    5 hymns
Rudra                -    4 hymns
Viṣṇu                -    4 hymns
Indra,               -    3 hymns
Mitra                -    3 hymns
Indra-Soma           -    3 hymns
Parjanya             -    3 hymns
Sarasvatī            -    3 hymns
Press-stones         -    3 hymns
Creation             -    3 hymns
Agni,                -    2 hymns
Praise               -    2 hymns
Kapiñjala            -    2 hymns
Dadhikrās            -    2 hymns
Vastospati           -    2 hymns
Praskaṇva's          -    2 hymns
Yama                 -    2 hymns
Visvakarman          -    2 hymns
Manyu                -    2 hymns
Ṛtu                  -    1 hymns
Varuṇa,              -    1 hymns
Agni-Soma            -    1 hymns
Svanaya              -    1 hymns
Bhāvayavya           -    1 hymns
Vāyu,                -    1 hymns
Viṣṇu-Indra          -    1 hymns
Rati                 -    1 hymns
Water                -    1 hymns
Son                  -    1 hymns
Sacrificial          -    1 hymns
Uṣas                 -    1 hymns
Dadhikris            -    1 hymns
Dadhikrāvan          -    1 hymns
Indra-Bṛhaspati      -    1 hymns
Ksetrapati,          -    1 hymns
Ghṛta                -    1 hymns
Prthivi              -    1 hymns
Cows                 -    1 hymns
Indra-Viṣṇu          -    1 hymns
Soma-Rudra           -    1 hymns
Weapons              -    1 hymns
Vasiṣṭha             -    1 hymns
Bhaga                -    1 hymns
Frogs                -    1 hymns
Pavamana             -    1 hymns
Some                 -    1 hymns
Yami                 -    1 hymns
Havirdhanas          -    1 hymns
Fathers              -    1 hymns
Dice,                -    1 hymns
Vaikuntha            -    1 hymns
Gods                 -    1 hymns
Mānas                -    1 hymns
Nirrti               -    1 hymns
Asamati              -    1 hymns
Viśvedevas,          -    1 hymns
Jnanam               -    1 hymns
Sūrya's              -    1 hymns
Puruṣa               -    1 hymns
Urvasi               -    1 hymns
Dakṣiṇā              -    1 hymns
Saramā               -    1 hymns
Liberality           -    1 hymns
Ka                   -    1 hymns
Vena                 -    1 hymns
Vāk                  -    1 hymns
Night                -    1 hymns
Kesins               -    1 hymns
Sapatnibadhanam      -    1 hymns
Aranyani             -    1 hymns
Faith                -    1 hymns
New                  -    1 hymns
Saci                 -    1 hymns
Dream-charm          -    1 hymns
Sapatnanāśanam       -    1 hymns
COWS                 -    1 hymns
Māyābheda            -    1 hymns
Tārkṣya              -    1 hymns
Aditi                -    1 hymns
